Date,Close,High,Low,Open,Volume
2023-06-12,16097.8701171875,16126.2998046875,16021.5498046875,16052.91015625,61393600
2023-06-13,16230.6796875,16232.7001953125,16088.4697265625,16218.2001953125,72345000
2023-06-14,16310.7900390625,16336.26953125,16217.4501953125,16219.08984375,75755600
2023-06-15,16290.1201171875,16301.73046875,16165.66015625,16275.73046875,80150500
2023-06-16,16357.6298828125,16427.419921875,16276.7900390625,16306.6298828125,211233000
2023-06-19,16201.2001953125,16302.2900390625,16189.5703125,16272.2099609375,52459700
2023-06-20,16111.3203125,16184.2998046875,16069.099609375,16100.2900390625,68396400
2023-06-21,16023.1298828125,16145.2900390625,16002.26953125,16082.75,62212100
2023-06-22,15988.16015625,15988.2099609375,15810.48046875,15867.650390625,65000700
2023-06-23,15829.9404296875,15917.1396484375,15733.1201171875,15862.7900390625,108856500
2023-06-26,15813.0595703125,15874.900390625,15713.7001953125,15874.150390625,72427600
2023-06-27,15846.8603515625,15895.7001953125,15758.1298828125,15873.73046875,63273400
2023-06-28,15949.0,15994.3095703125,15906.8798828125,15922.7099609375,69914300
2023-06-29,15946.7197265625,15998.669921875,15920.0400390625,15960.4697265625,54568800
2023-06-30,16147.900390625,16176.5498046875,15978.900390625,15989.4296875,85583300
2023-07-03,16081.0400390625,16209.2900390625,16070.490234375,16187.91015625,52047600
2023-07-04,16039.169921875,16103.9501953125,16023.7197265625,16082.9296875,42493900
2023-07-05,15937.580078125,15982.9599609375,15901.3896484375,15930.16015625,66456400
2023-07-06,15528.5400390625,15846.25,15495.83984375,15816.1103515625,80363000
2023-07-07,15603.400390625,15661.41015625,15456.16015625,15515.0,67259700
2023-07-10,15673.16015625,15722.0302734375,15545.330078125,15585.33984375,53384600
2023-07-11,15790.33984375,15807.66015625,15659.099609375,15716.259765625,60828200
2023-07-12,16023.0,16044.2802734375,15806.2802734375,15842.259765625,72341400
2023-07-13,16141.0302734375,16185.1103515625,16000.3798828125,16009.259765625,64992600
2023-07-14,16105.0703125,16149.1201171875,16071.740234375,16123.1298828125,61718900
2023-07-17,16068.650390625,16102.509765625,15995.4501953125,16013.51953125,45553500
2023-07-18,16125.490234375,16140.2001953125,16031.0703125,16042.0302734375,56765300
2023-07-19,16108.9296875,16240.7900390625,16075.169921875,16190.0,62950200
2023-07-20,16204.2197265625,16211.4296875,16050.98046875,16059.2197265625,66295300
2023-07-21,16177.2197265625,16181.33984375,16103.48046875,16125.2099609375,69913700
2023-07-24,16190.9501953125,16208.759765625,16121.26953125,16126.7099609375,51532000
2023-07-25,16211.58984375,16225.8896484375,16135.599609375,16169.75,56468900
2023-07-26,16131.4599609375,16212.91015625,16000.0400390625,16183.7001953125,76242600
2023-07-27,16406.029296875,16408.80078125,16131.6396484375,16162.16015625,96512200
2023-07-28,16469.75,16490.130859375,16336.419921875,16356.3798828125,70297300
2023-07-31,16446.830078125,16528.970703125,16427.470703125,16434.66015625,60748100
2023-08-01,16240.400390625,16430.66015625,16240.400390625,16414.7890625,63456600
2023-08-02,16020.01953125,16140.759765625,15955.3095703125,16027.650390625,74404800
2023-08-03,15893.3798828125,15920.3203125,15807.849609375,15879.0302734375,82642000
2023-08-04,15951.8603515625,15973.9599609375,15784.51953125,15917.009765625,77046600
2023-08-07,15950.759765625,15962.6103515625,15824.7802734375,15877.5400390625,68246900
2023-08-08,15774.9296875,15946.5703125,15706.3095703125,15868.3095703125,80939300
2023-08-09,15852.580078125,15983.7802734375,15831.080078125,15918.0595703125,65516200
2023-08-10,15996.51953125,16060.26953125,15880.41015625,15921.419921875,74907500
2023-08-11,15832.169921875,15962.4501953125,15803.080078125,15927.7900390625,60296700
2023-08-14,15904.25,15937.7802734375,15817.58984375,15818.2099609375,43608500
2023-08-15,15767.2802734375,15923.1298828125,15703.0302734375,15909.5703125,45352200
2023-08-16,15789.4501953125,15814.66015625,15725.099609375,15737.01953125,39651700
2023-08-17,15676.900390625,15793.5302734375,15664.2998046875,15712.9404296875,48603400
2023-08-18,15574.259765625,15612.8798828125,15468.650390625,15597.1201171875,59909500
2023-08-21,15603.2802734375,15710.2099609375,15571.8203125,15573.9501953125,45251100
2023-08-22,15705.6201171875,15799.33984375,15677.4404296875,15684.6396484375,42807400
2023-08-23,15728.41015625,15820.9501953125,15672.4296875,15761.25,53425400
2023-08-24,15621.490234375,15896.740234375,15618.6904296875,15876.2197265625,48251600
2023-08-25,15631.8203125,15739.7802734375,15578.9697265625,15582.9501953125,44315200
2023-08-28,15792.6103515625,15804.9501953125,15673.8896484375,15756.4697265625,43473300
2023-08-29,15930.8798828125,15942.1201171875,15805.419921875,15844.759765625,49760000
2023-08-30,15891.9296875,15960.400390625,15823.330078125,15956.919921875,49478600
2023-08-31,15947.080078125,16042.66015625,15914.4296875,15937.3896484375,92766900
2023-09-01,15840.33984375,15984.58984375,15840.25,15936.33984375,54045200
2023-09-04,15824.849609375,15958.740234375,15795.9697265625,15904.6298828125,34752500
2023-09-05,15771.7099609375,15838.4404296875,15691.490234375,15729.7802734375,73334000
2023-09-06,15741.3701171875,15781.8896484375,15676.509765625,15712.58984375,63047100
2023-09-07,15718.66015625,15794.7197265625,15661.3798828125,15661.66015625,59410800
2023-09-08,15740.2998046875,15783.3798828125,15577.0400390625,15777.5595703125,63810400
2023-09-11,15800.990234375,15867.5703125,15771.0703125,15799.419921875,65431300
2023-09-12,15715.5302734375,15808.3798828125,15686.33984375,15804.080078125,58026400
2023-09-13,15654.0302734375,15726.599609375,15564.6396484375,15648.919921875,68861200
2023-09-14,15805.2900390625,15824.0595703125,15588.1201171875,15652.41015625,77633300
2023-09-15,15893.5302734375,15989.2998046875,15871.169921875,15940.3896484375,179829200
2023-09-18,15727.1201171875,15870.6201171875,15693.8701171875,15858.8095703125,58899600
2023-09-19,15664.48046875,15743.900390625,15630.9404296875,15688.0703125,53581800
2023-09-20,15781.58984375,15810.3603515625,15699.33984375,15703.08984375,54733100
2023-09-21,15571.8603515625,15696.66015625,15548.6904296875,15650.98046875,65995100
